taskid,country,hate_definition
0,usa,Direct threats to a person or group of people.
1,usa,Threats of violence t a person directly by someone able to act upon said threat
2,usa,Racist and religious atttacks
3,usa,Speech that threatened violence
4,usa,Any speech can be construed as hate speech. So it’s irrelevant. Offensive more likely
5,usa,A call to action to do violence toward a person or group.
6,usa,It is too vague to be described. Far too many whiners.
7,usa,Free speech is necessary to a free republic. Let the open arena of ideas repress repugnant ideas.
8,usa,"Speech that attacks people for things they have no control of, such as race, sex, sexuality, etc."
9,usa,Direct threats to life.
10,usa,I don't think people should give a damn what other people say
11,usa,"Insults based on color, gender, sexual preference. Threats against an individual or group."
12,usa,Speech that advocates for the harm or marginalization or dehumanization of others
13,usa,Threatening physical violence
14,usa,I don't know what hate speech is and I have never met anyone who does.
15,usa,"Speech that clearly disparages another tied with threats to the person's life, livelihood or existence."
16,usa,"In America there is no such thing as ""hate speech."" We enjoy Free Speech (with the exception of crying ""Fire!"" in a crowded theater). If people on social platforms are offended by another's remark they can delete it. It's like being innocent until PROVEN guilty. Ere on the side of more speech.
"
17,usa,Speech that expresses violence toward someone based on specific characteristics of a particular person.
18,usa,"Threatening a specific person,. I think our constitution says a little something about freedom of speech. My opinion, your opinion. If you can't take the heat get out of the fucking kutchen"
19,usa,Speech that actively promotes actual physical violence or death of a group of people based on physical attributes or ideology.
20,usa,"Speech which perpetuates harmful social ideas and constructs that is meant to continue and reinforce the disenfranchisement of historically oppressed people based on race, ethnicity, classgender religious belief or orientation"
21,usa,When a group is denigrated.  Anything which incites violence against anyone. Anything which implies the superiority of one group over another.
22,usa,"Hate speech is speech that encourages violence against various groups of people.or speech that denigrates various people such as gays, jews blacks, etc in order to make them seem inferior."
23,usa,"I would define hate speech when someone says something about the Persons color of skin or gender.  I find that unacceptable 100%.  Now referencing their religion, no."
24,usa,"""Hate speech"" is propaganda designed to keep people divided. You can tell because its a trigger word. Which means it is a brainwashing/social conditioning tool."
25,usa,"Any type of speech which directly calls for acts of emotional, mental, physical, or fiscal violence against any individual or organization for which a sufficient logical reason is not given."
26,usa,"Comments that vilify persons because of their race, religion, sexual identity, ethnicity or body shape."
27,usa,"its just speech.  fight it with more speech.  state your case on your own thoughts and merits.  dont have the government shut down anything 
"
28,usa,"Hate speech is direct and targeted. Includes use of slurs and is mean spirited. I could include threats of violence, too."
29,usa,Physical threats only. A difference of opinion or a disagreement with a lifestyle does equal hate speech.
