ResponseId,country,hate_definition,hate_definition_cleaned
R_DdbAOuoFbHrAJi1,usa,Direct threats to a person or group of people.,Direct threats to a person or group of people.
R_2wRJ02DIiZo922Y,usa,Threats of violence t a person directly by someone able to act upon said threat,Threats of violence t a person directly by someone able to act upon said threat
R_5AzZnv5O7loLrRn,usa,Racist and religious atttacks,Racist and religious atttacks
R_3nH4DvesGulMwrl,usa,Speech that threatened violence,Speech that threatened violence
R_3fwN9VuK2ssVzFA,usa,Any speech can be construed as hate speech. So it’s irrelevant. Offensive more likely,Any speech can be construed as hate speech. So it’s irrelevant. Offensive more likely
R_prs0q7PTQRO8xWN,usa,A call to action to do violence toward a person or group.,A call to action to do violence toward a person or group.
R_We1CW5vM96bGllT,usa,It is too vague to be described. Far too many whiners.,It is too vague to be described. Far too many whiners.
R_21BTlRgxtDWgIQJ,usa,Free speech is necessary to a free republic. Let the open arena of ideas repress repugnant ideas.,Free speech is necessary to a free republic. Let the open arena of ideas repress repugnant ideas.
R_2CKgEdBv1GKpO2d,usa,"Speech that attacks people for things they have no control of, such as race, sex, sexuality, etc.","Speech that attacks people for things they have no control of, such as race, sex, sexuality, etc."
R_wSu4hU1OqNtNevv,usa,Direct threats to life.,Direct threats to life.
R_DFXbRQ3Q6VD00YF,usa,I don't think people should give a damn what other people say,I don't think people should give a damn what other people say
R_bfj878ftZOE9ASB,usa,"Insults based on color, gender, sexual preference. Threats against an individual or group.","Insults based on color, gender, sexual preference. Threats against an individual or group."
R_3FKymYdg8Z1g7OI,usa,Speech that advocates for the harm or marginalization or dehumanization of others,Speech that advocates for the harm or marginalization or dehumanization of others
R_3jZ4GXiUnnPm1jc,usa,Threatening physical violence,Threatening physical violence
R_3O85E7MbBT4eld1,usa,I don't know what hate speech is and I have never met anyone who does.,I don't know what hate speech is and I have never met anyone who does.
R_sUysyDfXHFc7pa9,usa,Don't know,Don't know
R_2SBGZGDS0D4DYTQ,usa,Speech anyone hates.,Speech anyone hates.
R_1QL2b1NzH0GWW1L,usa,There is no such thing.  Its just speech. Speech should be fought with more speech,There is no such thing.  Its just speech. Speech should be fought with more speech
R_u9xcTKY1vqfjZtL,usa,"Racial slurs, threats of violence","Racial slurs, threats of violence"
R_3j8QQ5Nya1RSRnU,usa,Threats of violence towards a certain group of people,Threats of violence towards a certain group of people
R_SK0xTDeYLKFZbMd,usa,No opinion,No opinion
R_1fZ2Clsdck11FLl,usa,"When someone threatened the well being of someone else, that is hate speech in my opinion.","When someone threatened the well being of someone else, that is hate speech in my opinion."
R_xlWr7sJm08slyEN,usa,I believe hate speech is when one group or person is calling for the other groups annihilation.,I believe hate speech is when one group or person is calling for the other groups annihilation.
R_211w1vyT6NIypeK,usa,There is no such thing as hate speech.,There is no such thing as hate speech.
R_ZrbIF8gL8z9okdr,usa,Posts that advocate actual harmful behavior or threats against another in a physical manner,Posts that advocate actual harmful behavior or threats against another in a physical manner
R_2RVdOGqYMEVCcUw,usa,Doesn't compute to me. Its words. Words dont matter.,Doesn't compute to me. Its words. Words dont matter.
R_3lQhUZrZQLnz8Dc,usa,Making up lies to promote a narrative.,Making up lies to promote a narrative.
R_zUd4ERzG2XM5HfX,usa,Hate speech is a made up term to allow one group to ban the speech of another.,Hate speech is a made up term to allow one group to ban the speech of another.
R_3saCVw1AZuUyBQM,usa,Hate speech doesn't exist.,Hate speech doesn't exist.
R_2QXUN8IMpSylhZ4,usa,speech that someone disagrees with strongly seems to be how the term is used in my experience.,speech that someone disagrees with strongly seems to be how the term is used in my experience.
R_12Mt1FkjB3eJpu6,usa,"Bigoted language concerning race, ethnicity, gender, creed, nationality, or sexual orientation","Bigoted language concerning race, ethnicity, gender, creed, nationality, or sexual orientation"
R_3qlpJ1a3M2FrgSW,usa,Prejudice,Prejudice
R_1pS5kwLdd8lzQBD,usa,Read the first ammendment.,Read the first ammendment.
R_W393r39DSCjj8v7,usa,I don't know.,I don't know.
R_6VxoXMdU2hz0KxX,usa,a fictitious concept used to censor.,a fictitious concept used to censor.
R_ymXAGJBjK6sQEet,usa,Speech that I disagree with,Speech that I disagree with
R_3O0LpQLcSDiujWA,usa,I think there's no such thing as hate speech.,I think there's no such thing as hate speech.
R_3EtZ6c4RiAEMvvR,usa,"Speech is not hateful, it's everyone's right to express their opinion","Speech is not hateful, it's everyone's right to express their opinion"
R_1AeYDyCl4XxLZ7z,usa,When someone offends and group of people in a hateful way,When someone offends and group of people in a hateful way
R_1EYzbw5wsjQR5dE,usa,Hate speech is a made-up term to persecute people when they are saying something we don’t like.,Hate speech is a made-up term to persecute people when they are saying something we don’t like.
R_3p3HtGwuI5wjnsT,usa,No such thing. People use this term to curtail free speech,No such thing. People use this term to curtail free speech
R_1QFVyozuD96SDGE,usa,There is no hate speech. All speech must be free.,There is no hate speech. All speech must be free.
R_3jUqN4rORuph9x1,usa,Agressive or threatening speech promoting prejudice and/or bigotry.,Agressive or threatening speech promoting prejudice and/or bigotry.
R_2fe9BWw0EU9DyxA,usa,Things that attack a specific group,Things that attack a specific group
R_3qm5Ux2oq6uty9Z,usa,No such thing,No such thing
R_udDJ0hW96mza1KV,usa,Advocating violence against an individual or a group,Advocating violence against an individual or a group
