ResponseId,country,hate_definition,translated_hate_definition,translated_hate_definition_cleaned
R_21h5UwBw1M79yxM,tur,Hakaret aşağılama kin içeren kelimeler,Insult insulting words containing hatred,Insult insulting words containing hatred
R_1k1wJIdtEyN5vBx,tur,"Açık küfür, şahıs gözeterek aşağılama, fikirden çok fiziğe (kişiye) saldırı","Open blasphemy, insulting by considering the person, the attack (to the person) rather than the idea","Open blasphemy, insulting by considering the person, the attack (to the person) rather than the idea"
R_3lRctDAbDZBrOvf,tur,Irkçı cinsiyetçi evrensel ilkeleri etik değerleri aşağılayan söylemler,Racist sexist Universal Principles Discourses that humiliate ethical values,Racist sexist Universal Principles Discourses that humiliate ethical values
R_2CrHBB2eWJjAD6u,tur,Kendisi gibi olmayan veya düşünmeyenlere yaşama şansı vermeyen herkes nefret söylemi suçu işler,Anyone who does not give the chance to live to those who are not like himself or who do not think of hate speech crimes,Anyone who does not give the chance to live to those who are not like himself or who do not think of hate speech crimes
R_2SApdMFtIsEO1zb,tur,İnsanların kişilik ve benliklerini zedeleyen hersey,Everything that damages people's personality and self,Everything that damages people's personality and self
R_3sBnrQeKoSJsvsC,tur,"Bir zümreyi hedef alan, eylem yapılmasını isteyen söylem","Targeting a group, the discourse that wants action","Targeting a group, the discourse that wants action"
R_110Y8l0Q250XyA0,tur,Bana pis TÜRK DERSE.,If he taught me dirty turkish.,If he taught me dirty turkish.
R_21FgUu00zbBEmW8,tur,"Din,dil ırk ve cinsiyete belli bir kitleye hakaret.","Insulting a certain audience to religion, language race and gender.","Insulting a certain audience to religion, language race and gender."
R_cZ5fTSnHs69FYqZ,tur,Kişinin hak ve özgurlugune her şekilde her türlü dusuncesizce yapılan hakaret ve yaptırım çabası..,Inspection and sanction effort made to the person's rights and self -esteem in any way.,Inspection and sanction effort made to the person's rights and self -esteem in any way.
R_UuP3tfM2G7DTt73,tur,Çok kötü,Too bad,Too bad
R_3HBJMQBGuQn9J4h,tur,Tüm aşırı Radikal fikirler düşünceler ve inançlar,All extreme radical ideas thoughts and beliefs,All extreme radical ideas thoughts and beliefs
R_PCygKLlW5Q2tZYd,tur,"Dil, din, ırk, cinsiyet, sosyal konumlarını aşağılamak nefret söylemidir.","It is hate speech to humiliate language, religion, race, gender, social positions.","It is hate speech to humiliate language, religion, race, gender, social positions."
R_73NqUl195z7zlXH,tur,Karşınızdakinin de bir insan olduğunu düşünmeden yapılan söylemlerdir.,They are discourses made without thinking that the other person is a human being.,They are discourses made without thinking that the other person is a human being.
R_OPvjdeVqsVrHm81,tur,Fikir ayrılıkları,Disagreements,Disagreements
R_1oniH9mLEzeQpvP,tur," Kendisinden farklı olana yöneltilen her türlü hakaret, hedef gösterme, taciz söylemi vb.","All kinds of insults, targeting, harassment discourse and so on.","All kinds of insults, targeting, harassment discourse and so on."
R_Brmq5xmsjUGoYZH,tur,Bölücülük yapmak,Divisive,Divisive
R_2EGdmiQWOGSN0xW,tur,Irkçı soylemler,Racist,Racist
R_08u4SbBFiq6ImPf,tur,"psikolojik siddet iceren her turlu aktivite, nefret soylemi olarak degerlendirilebilir.",Any kind of activity that contains psychological violence can be evaluated as a hate telling.,Any kind of activity that contains psychological violence can be evaluated as a hate telling.
R_10u9vLJtbsye1b0,tur,"Her türlü ırk, renk, dil, din, mezhep, bölge ve cins ayrımcılığı yapmak nefret söylemidir.","All kinds of races, color, language, religion, sect, region and breed are hate speech.","All kinds of races, color, language, religion, sect, region and breed are hate speech."
R_308KdHHTetR4MrY,tur,Din dil ırk,"Religion, language, race","Religion, language, race"
R_1Ngk7Iy0Rd7cn1D,tur,"Küfür, hakaret ve karşıdaki kişiye nefret edildiğini hissettirecek her şey","Business, insult and everything that makes the other person feel hated","Business, insult and everything that makes the other person feel hated"
R_12sZgt3irJU1ewQ,tur,"Irk, renk dil din ve cinsiyete karşı yapılan aşağılamalar,  hakaretler ve suçlamalar","Race, Color Language Age, Insults and Charges against Religion and Gender","Race, Color Language Age, Insults and Charges against Religion and Gender"
R_3kvSXt5QZ4oX9hG,tur,"hakaret, bir görüşü düşünmeden tamamen düşmanca yanıtlamak",Insulting completely hostile without thinking about an opinion,Insulting completely hostile without thinking about an opinion
R_Z9msi50DndCMg7f,tur,"Belirli bir ırk,dil,din ve mezhep düşmanlığı içeren sözler söylemek nefret söylemidir.","It is hate speech to say words that include hostility to a certain race, language, religion and sect.","It is hate speech to say words that include hostility to a certain race, language, religion and sect."
R_1ohEzGPSqoihe2p,tur,Saldırgan olmayan fikirlerini yanjış da olsa söyleyebilmelidir.,"He should be able to say his non -aggressive ideas, even if he was pistrative.","He should be able to say his non -aggressive ideas, even if he was pistrative."
R_enDatntiMTxwUyR,tur,"Din, mezhep, ırk, renk, milliyet konuları","Religion, sect, race, color, nationalities","Religion, sect, race, color, nationalities"
R_3nMiRP86CzietAP,tur,"Birilerine veya birşeylere kötü sözler, küfürler vb. gibi şeyler çok iğrenç şeyler.","Bad words, curses, etc. to someone or something.Things like very disgusting things.","Bad words, curses, etc. to someone or something.Things like very disgusting things."
R_3JLBsQ1vR2gH3IO,tur,"Hakaret'tehdit ,kufur ve siyasal dusunceye baski insani asaliyann soylemler","Insult threat, power and political thought humanitarian prime","Insult threat, power and political thought humanitarian prime"
R_2Yb5CGz3fKRohQX,tur,başka bir canlıya karşı her türlü kötü söylem,All kinds of bad discourse to another living thing,All kinds of bad discourse to another living thing
R_4UXC8jcJi1BG6PL,tur,"Irkçı söylemler.Aşağılayan söylemler.Hakaret.Homofobik,küfürlü söylemler.",Racist discourses.,Racist discourses.
R_1jAFf6JxkcjGcNo,tur,Konuya bağlı,Subject to the subject,Subject to the subject
R_3FIEhwMBcNhRZpz,tur,İnsanlık suçu olarak goruyorum,I see it as a crime of humanity,I see it as a crime of humanity
R_3pm1LZvs6uwDzfu,tur,Yaşam sekline ve düşunceye mudahele.,Intervention in life and dream.,Intervention in life and dream.
R_31n2IoOpAvHGrtV,tur,Kişi kendisine saldırı hissederse kötü hissederse aşağılanmış hissederse nefret söylemidir,"If a person feels bad if he feels an attack, he feels humiliated.","If a person feels bad if he feels an attack, he feels humiliated."
R_3HozvTcERl2zbxj,tur,Kişinin sağlığına direk tehtid oluşturan unsurlar.,The elements that directly threaten the health of the person.,The elements that directly threaten the health of the person.
R_TsVAKApTETfG5xL,tur,Bir grubu aşağılayıcı ve yaralayıcı söylemler.,A group humiliating and injuring discourses.,A group humiliating and injuring discourses.
R_afQTd8aj6KWYLUR,tur,görünüş ve görüşlere hakaret,Insulting views and views,Insulting views and views
R_3hGaK1BCD7cGOAl,tur,Eğitimsiz kişilerin tüm söylemleri Nefret içerikli,All discourse of uneducated people hate content,All discourse of uneducated people hate content
R_1FbMPa19gnpnXOz,tur,"Irka ve dine , şahsa karşı nefret ifadeleri.",Expression of hatred against race and religion.,Expression of hatred against race and religion.
R_3lDlrVRKrFc9vgm,tur,Hakaret aşağılama ve zorbalık içeren herşey nefret içerir,Everything containing insults and bullying contains hatred,Everything containing insults and bullying contains hatred
R_3qZDDUedJaPHSja,tur,nefretle söylenen her şey,everything that is said with hatred,everything that is said with hatred
R_enyFQkjcJr6GW2J,tur,Hakaret ve aşağılama nefret söylemidir.,Insult and humiliation is hate speech.,Insult and humiliation is hate speech.
R_27ePzC9SwwpYsBp,tur,Bilmiyorum,I don't know,I don't know
R_rr7bclgEWV4SQbn,tur,İnsanlık  dışı,Inhuman,Inhuman
R_A7CTwgqBxllViLL,tur,Temel yaşam haklarına aykırı güçlü saldırgan fikirler,Strong aggressive ideas contrary to basic life rights,Strong aggressive ideas contrary to basic life rights
R_2wdE1WO6yLjsY78,tur,Siyasal kültürel felsefi anlamda ayrıksı grupları taciz ve tehdit,Political cultural philosophical groups of discrete groups harassment and threat,Political cultural philosophical groups of discrete groups harassment and threat
R_2CPyGZOe1pp2bFy,tur,Kişileri ruhsal olarak yaralayan şeyleri nefret söylemi olarak görüyorum,I see things that hurt people spiritually as hate speech,I see things that hurt people spiritually as hate speech
R_yUqqih34vO55Q4h,tur,Hakli Bir topluma karşı olan büyük  nefret.,Great hatred against a right society.,Great hatred against a right society.
R_2WNZj2XkNEpHWmg,tur,"NEFRET SÖYLEMLERİ: HAKLI DAYANAKLARI VARSA; YERİ GELDİĞİNDE, ÖZGŪRCE DİLE GETİRİLMELİDİR.","Hate speech: If they have justified basis;When it comes to, it should be expressed specific.","Hate speech: If they have justified basis;When it comes to, it should be expressed specific."
R_2S6NI69nGpqGiso,tur,Nefret söylemine müsaade edilmemelidir.,Hate speech should not be allowed.,Hate speech should not be allowed.
