Input.ResponseId,country,hate_definition_cleaned,hate_definition
R_ZCyL2rbu41UHDVf,bra,"Hate speech is any idea that encourages discrimination, whatever it may be, or that offend another person directly.","Discurso de ódio é toda e qualquer ideia que incentive a discriminação, seja ela qual for, ou que ofenda de forma direta outra pessoa."
R_2zc2x14nNy3x6M5,bra,"Discourse that dehumanizes a certain portion of the population and undemocratic discourse. In my view, a discourse that dehumanizes is one that puts part as inferior, deserving less rights or even extermination or any violence.Clear examples are: apology for Nazism, racism and xenophobia.However, in Brazil there is a lot of political hatred today, with immense polarization.There was even extreme case, such as that of a man who shot in an opposition voter on his own birthday.  More difficult to define is undemocratic discourse, because both sides have a different view of what is harmful to democracy.A big problem in our country is fake news: lies deliberately elaborated to destabilize the democratic rule of law institutions, manipulating the opinion of masses, which are brought back by pernicious and liars' discourses.Just see what circulates through social networks ... such as the case of people in demonstrations for federal intervention who celebrated the issuance of the arrest warrant of the minister of Supreme Alexandre de Moraes, when he was never even considered by the authorities.There was not even motivation for that.In my view, this kind of thing harms democracy and political debate in general.Creates hatred and polarization.","Discurso que desumaniza determinada parcela da população e discurso antidemocrático.
Na minha visão, discurso que desumaniza é aquele que coloca parte como inferior, merecedora de menos direitos ou até mesmo de extermínio ou qualquer violência. Exemplos claros são: apologia ao nazismo, racismo e xenofobia. Porém, no Brasil existe hoje muito ódio político, havendo imensa polarização. Houve até mesmo caso extremos, como o de um homem que atirou em um eleitor da oposição em seu próprio aniversário.

Mais difícil de definir é o discurso antidemocrático, pois ambos os lados tem uma visão diferente daquilo que é nocivo à democracia. Um grande problema em nosso País são as fake news: mentiras elaboradas deliberadamente para desestabilizar as instituições do Estado Democrático de Direito, manipulando a opinião de massas, que se retroalimentam de discursos perniciosos e mentirosos. É só ver o que circula pelas redes sociais... Como o caso das pessoas em manifestações por intervenção federal que comemoraram a emissão do mandado prisão do Ministro do Supremo Alexandre de Moraes, quando ele de fato nunca foi sequer cogitado pelas autoridades. Sequer havia motivação para tal. Ao meu ver, esse tipo de coisa prejudica a democracia e o debate político em geral. Cria ódio e polarização."
R_3IXq3RsQGumtjYY,bra,How much there is a declaration that threatens the physical integrity of a specific person or a certain social group.,Quanto existe declaraçao que ameaça a integridade física de uma pessoa específica ou certo grupo social.
R_ZxT8TC7zuKjHLI5,bra,"Radical intolerance to the various existing opinions, and what makes hate speech is the owner of the truth and still suffers from God's syndrome, thinking that he would be the almighty capable of solving everything radically.","Intolerância radical às diversas opiniões existentes, sendo que o que faz discurso de ódio se acha o dono da verdade e, ainda, sofre de síndrome de Deus, achando que ele seria o todo-poderoso capaz de resolver tudo de modo radical."
R_vV9hzX338gHvlcd,bra,Something absolutely subjective.No one is responsible for what the other can feel or think.Therefore it is not possible to accurately define what this discourse of hatred would be.,Algo absolutamente subjetivo. Ninguém é responsável pelo o que o outro pode sentir ou pensar. Portanto não é possível definir com precisão o que seria esse tal discurso de ódio.
R_7TzAvqQdGRsIrT3,bra,"Clowning!Those who preach this want a way to be able to control people's opinions, more specifically, opinions contrary to their own.","Palhaçada! Quem prega isso quer uma forma de poder controlar as opiniões das pessoas, mais especificamente, as opiniões contrárias às suas."
R_ywOLtX0PIZe70Jj,bra,"Expression of opinion violently, offensive and intolerant, attacking and disrespecting those who think differently from the other in a public form, generating a social embarrassment.","Expressão de opinião de forma violenta, ofensiva e intolerante, atacando e desrespeitando quem pensa diferente do outro de forma pública, gerando um constrangimento social."
R_3wTKHlfneeurfcl,bra,Hate speech is when the person offends in a criminal or very malicious way.But I do not consider hate speech when one person is hasty with another disagreeing with his opinion.,Discurso de ódio é quando a pessoa ofende de forma criminosa ou muito mal intencionada. Mas não considero discurso de ódio quando uma pessoa é ríspida com outra discordando da sua opinião.
R_1poIpUYWnBexRP5,bra,"Hate discourse is characterized when speech spread that aims to oppress, exclude or even extinguish certain groups.","Discurso de ódio é caracterizado quando há a propagação de falas que visam oprimir, excluir ou até extinguir determinados grupos."
R_DB1jMbrom36dMI1,bra,Hate speech would be a type of advertising or speech that preaches extermination or that more people offend a certain group or individual.,Discurso de ódio seria um tipo de propaganda ou discurso que prega extermínio ou que mais pessoas ofendam certo grupo ou indivíduo.
R_2ah10zQC3iz45VA,bra,Freedom of expression is very important!I think threatening a death person constantly must investigate so that evil does not happen!Other than that let it roll!Because it has happened that I was forbidden to write the famous word Luladron!I'm just telling the truth right?The corrupt system has to be banned because they elected a convict!My president will always be Bolsonaro 🇧🇷 and live freedom of expression 👏👏👏,Liberdade de expressão é muito importante! Acho que ameaçar uma pessoa de morte constantemente deve investigar para que o mal não aconteça! Fora isso deixa rolar! Pois já aconteceu de eu ser proibida de escrever a famosa palavra Luladrão! Só tô dizendo a verdade neh? O Sistema corrupto tem que ser banido pq elegeram um condenado! Meu Presidente sempre será Bolsonaro 🇧🇷 E viva a liberdade de expressão 👏👏👏
R_3lRAD3nIXsHkoLB,bra,"Speech against a group of people (a minority, for example), inciting violent actions against people","Discurso contra um grupo de pessoas (uma minoria, por exemplo), incitando ações violentas contra pessoas"
R_1JWurUROfu2GJgh,bra,Hate Speech is a tool used to censor people.Freedom of expression must prevail.,Discurso de ódio é uma ferramenta usada para censurar pessoas. A liberdade de expressão deve prevalecer.
