ResponseId,country,hate_definition,translated_hate_definition_cleaned
R_3ixmZowuHd1ERsD,bra,"Discurso contra grupo específico, com objetivo de silenciamento, exclusão ou eliminação.","Speech against specific group, with the purpose of silencing, exclusion or elimination."
R_2WMa8cKPTK6WHVN,bra,Aquilo que ofende sem motivo a outrem!,What offends for no reason to another!
R_zT5bOiMcSYamYaR,bra,Discurso que promove violência ou exclusão direcionado a grupos específicos,Discourse that promotes violence or exclusion directed to specific groups
R_2UWag5ajbgHct2u,bra,"Falhar meu sobre algo, sem insultar e sem criticar construtivamente","Fail mine about something, without insulting and without constructively criticizing"
R_vV9hzX338gHvlcd,bra,Algo absolutamente subjetivo. Ninguém é responsável pelo o que o outro pode sentir ou pensar. Portanto não é possível definir com precisão o que seria esse tal discurso de ódio.,Something absolutely subjective.No one is responsible for what the other can feel or think.Therefore it is not possible to accurately define what this discourse of hatred would be.
R_ZeOt75K0MCBcZKV,bra,"Algo que ameace diretamente alguém, incentivando crimes previstos na lei do país em questão","Something that directly threatens someone, encouraging crimes provided for in the law of the country in question"
R_xxTl8bW2kn8ekkF,bra," Ofensivo  com palavrões e expressões que além de desqualificarem, humilharam e injuriariam as possíveis  vítimas...","Offensive with profanity and expressions that besides disqualifying, humiliated, and disrupted the potential victims ..."
R_cBmUPSfjiBGuIMx,bra,"Conteúdo que agride a existência biopsicossocial de alguém ou algum grupo. Assume caráter dicotômico no discurso, qualificando com bom ou ruim temas sociais e privados que não interferem na existência de outrem.","Content that harms the biopsychosocial existence of someone or some group.It assumes dichotomous character in discourse, qualifying with good or bad social and private themes that do not interfere with the existence of others."
R_2bZwEJMerZP7uLw,bra,Qualquer discurso que ameace de morte pessoas.,Any speech that threatens death people.
R_2ByeuVQI6P8nrpb,bra,"Algo que ameaça a vida ou integridade física diretamente de uma pessoa, ou incita os outros a causarem danos físicos  ao próximo.","Something that threatens life or physical integrity directly from one person, or incites others to cause physical damage to others."
R_25uQ8rxgY3xM2lj,bra,"Quando além de discordar, ofende e ameaça.","When in addition to disagreeing, offends and threatens."
R_2PuH9oleeEjABC4,bra,"Quando você expressa sua opinião, sua ética de forma que agride o outro, sem que estes tenham culpa por serem afro descentes,gays, etc. Aqueles considerados a minoria. Você sabe que a pessoa já é marginalizada pela maioria e ajuda a pisar mais.","When you express your opinion, your ethics so that it attacks the other, without being guilty of being descent, gay, etc.Those considered the minority.You know that the person is already marginalized by the majority and helps to step more."
R_3EG6y6BJhoE8ovw,bra,"Discurso de ódio é, por exemplo, exaltar stalin, que matou milhares, como um homem bom.","Hate speech is, for example, to exalt Stalin, who killed thousands as a good man."
R_2aCERPJFJ3DSQmB,bra,"Creio que ser atacado com palavras chulas, provocativas e ofensivas, sem deixar que o outro se defenda, ou opine, ou simplesmente por ter uma opinião/parecer diferente.","I believe that being attacked with words, provocative and offensive words, without letting the other defend, or opine, or simply for having a different opinion."
R_Rt6wldqcGyolOHT,bra,Tudo o que for contra as verdades pregadas pelo cristianismo,Everything that is against the truths preached by Christianity
R_1OwowJ7E0fcBLsJ,bra,"Discursos que contenham incitação à violência contra a vida, valores.","Discourses that contain incitement to violence against life, values."
R_O3UAMGPgBLck7ER,bra,"Ataques pessoais, incentivo à violência, inferiorização/superiorização entre pessoas, privação de direitos a uns ou outros.

É necessário que se cultive o amor e o respeito mútuo nas relações humanas incluindo, obviamente, as redes sociais.","Personal attacks, incentive to violence, inferiorization/superiorization between people, deprivation of rights to one or the other.  It is necessary to cultivate love and mutual respect in human relations including, obviously, social networks."
R_2wiDMm5xf2DEIVy,bra,"Preconceitos de raça. genero, social etc","Prejudices of race.gender, social etc"
R_12Fr8mElBk6NywS,bra,Ofensa ou ameaças a integridade física por motivos de preconceito,Offense or threats to physical integrity for reasons of prejudice
R_27Qn5mvZxpPMXmU,bra,"Alguma opinião ou comentário ao intuito de atacar algum grupo, independente ao tipo de grupo.","Some opinion or comment to attack any group, regardless of the group type."
