ResponseId,country,hate_definition,translated_hate_definition_cleaned
R_2XiD0pE0F50YIA7,col,Racismo.ideales,Racism
R_12M60dDzGmQbr72,col,Que atente contra toda agresión verbal personal y en contra de la integridad humana animal o que constituya a la naturaleza o vida en general.,That attempts against all personal verbal aggression and against animal human integrity or that constitutes nature or life in general.
R_1NfSQI9QVjBsKnt,col,Maltrato a las personas por su color de piel y por su físico o por su trabajo y también influyevsu vocabulario respeto ante todo.,Abuse people for their skin color and for their physique or for their work and also influence vocabulary respect first of all.
R_3kFgJLCf7A3WkCb,col,Cuando se atenta contra la integridad de las personas.,When it is attentive against the integrity of people.
R_264KDZFCIsvmtmH,col,"- Cuando incita a la violencia (física o verbal) contra el otro.
- Cuando incita a tomar justicia por las propias manos
- Cuando de manera directa o indirecta invita a matar o terminar con el otro
- Cuando las palabras son claramente utilizadas para dañar y ofender al otro sin ningún tipo de empatía, respeto ni responsabilidad 
- Cuando directa o indirectamente el objetivo del mensaje es alimentar el odio en contra del otro
-Cuando se violenta la vida privada del otro para hacerle daño 
Cuando no es una opinión aislada o inocente sino claramente una invitación a actuar en contra del otro para hacerle daño físico, daño emocional, daño a su buen nombre o cualquier otro daño 
","- When it encourages violence (physical or verbal) against the other. - When he encourages justice for his own hands - When directly or indirectly invites to kill or end the other - When words are clearly used to damage and offend the other without any empathy, respect or responsibility - When directly or indirectly the objective of the message is to feed the hatred against the other -When the private life of the other is violent to harm him When it is not an isolated or innocent opinion but clearly an invitation to act against the other to do physical damage, emotional damage, damage to your good name or any other damage"
R_ApqotnppDYckUIp,col,Cuando empienza a insultar y meterce con algo personal,When he starts insulting and getting something personal
R_3MKlvLeizxFabXU,col,Cuando ataca a las demás personas por su forma de pensar,When it attacks other people for their way of thinking
R_31FUCfUZrVPhGwZ,col,Cuando es atacante ante cualquier punto,When he is attacker at any point
R_1jwECuXjCWT3iWG,col,un atentado contra la integridad de las personas,An attack on the integrity of people
R_12EcjpM1gPvXbXC,col,"Cuando voluntariamente ataca a una persona ridiculizando, ofendiendo y siendo grosero de alguna manera.","When voluntarily attacks a person ridiculing, offending and being rude in some way."
R_xzUQdYQFLjjLJKh,col,El que ofende y agrede directamente la opinión de otro.,The one who offends and manages the opinion of another directly.
R_3Pt0a6P1Zso75Kc,col,Invaluable,Invaluable
R_3oSElutjTQIzWIi,col,amenazas directas.,direct threats.
R_2dhEOKVu1fNEk9K,col,Un discurso destructivo que implica la emocionalidad de manera acrítica obedeciendo a impulsos puramente pasionales y sin medir las consecuencias que puede tener en quien lo recibe,A destructive discourse that implies emotionality in an acritic way obeying purely passionate impulses and without measuring the consequences that it can have on who receives it
R_ULuw1Zx9m2wLwbf,col,"Un discurso de odio es aquel con palabras ofensivas que incitan a la discordia y a la difamación de personas, a la calumnia, como del que ha sido víctima mi presidente Uribe, muchas cosas malas se han dicho de él, pero nunca se ha comprobado nada, esto demuestra que todo es un discurso de odio.
","A hate speech is that with offensive words that encourage discord and defamation of people, slander, as my president Uribe has been victim, many bad things have been said about him, but anything has never been proven,This shows that everything is a hate speech."
R_1OE24r3NlYl5NCd,col,"Un discurso que desvaloriza y agrede la dignidad de las personas, comprometiendo incluso su seguridad","A speech that devalue and aggregate the dignity of people, even committing their safety"
R_273ekPlvX2n7uY3,col,Un discurso en el cual se ataca a las personas con temas personales por pensar diferentes,A speech in which people with personal issues are attacked by thinking different
R_D67mQjMMpVbByGB,col,Es todo aquel comentario que sobre pasa la libertad del otro con lenguaje inadecuado,It is all that comment that passes the freedom of the other with inappropriate language
R_1X479d1HkYGSkKt,col,"Las personas con discurso de odio .Son aquellas que les resulta imposible aceptar la diferencia frente a credo , raza política o otra forma de pensar . O simplemente expresar su opinión frente a un tema de actualidad.","People with hate speech. They are those who find it impossible to accept the difference against creed, political race or another way of thinking.Or simply express your opinion in the face of a current issue."
R_BtA5WtnaN8Ie8QV,col,Es aquel que incita al rechazo irracional de otros por la sola razón de no ser semejantes a mi. Debemos tener claro que todos tenemos derecho a ser diferentes pero que esa diferencia sea administrada de manera que no ofenda a los demas para que de igual forma sea respetada.,It is one that encourages the irrational rejection of others for the sole reason of not being similar to me.We must be clear that we all have the right to be different but that this difference is administered so that it does not offend others so that it is also respected.
