ResponseId,country,hate_definition,translated_hate_definition_cleaned
R_232H3lQnZACv3MB,idn,Menyakiti hati orang lain,Hurt the hearts of others
R_28AMhPhEobdX4U3,idn,"Ujaran kebencian itu merupakan pernyataan yang ditulis atau diucapkan dengan tujuan untuk menunjukkan kepada personal atau organisasi yang dianggap tidak memiliki pendapat, pemikiran dan persepsi yang sama terhadap dirinya.","The utterance of hatred is a statement written or spoken with the aim of showing personal or organizations that are considered not to have the same opinion, thoughts and perceptions of him."
R_2txmsjQw1c3pHew,idn,Membuat orang lain terprovokasi,Make other people provoked
R_CghB8mQp0SVLRQZ,idn,"ujaran kebencian itu seperti menghujat, atau orng yg mengatakan kebencian itu pemikirannya pendek, krna dia tdk berpikir panjang sebelum berkomentar","The utterance of hatred is like blaspheming, or people who say hatred is short, because he doesn't think long before commenting"
R_XnuwLq1KxPty6QN,idn,menurut saya ujaran yg menimbulkan perbedaan persepsi atas pembacanya. sehingga bs menimbulkan perselisihan,I think the utterances that cause differences in perception of the reader.so BS causes a dispute
R_2VCOmT4EYMtdpun,idn,Kata atau kalimat yg menyinggung suatu pihak atau kelompok kecuali jika digunakan untuk membalas pihak yg memberi ujaran kebencian lebih dahulu,Words or sentences that offend a party or group unless it is used to reply to parties who give hate speech in advance
R_2BwUqLhxI2cLLIq,idn,"Jangankan manusia, ikan pun akan terhindar dari masalah jika ia mampu menjaga mulutnya","Let alone humans, fish will avoid problems if they are able to protect their mouths"
R_3QKITDPmDHy3sqj,idn,"hate speech (ujaran kebencian) is public speech on the internet that expresses hate or encourages violence towards a person or group based on something such as race, religion, sex, or sexual orientation.","hate speech (ujaran kebencian) is public speech on the internet that expresses hate or encourages violence towards a person or group based on something such as race, religion, sex, or sexual orientation."
R_1EhdjKdLtrbyHan,idn,Ujuran yang mengandung unsur penghinaan dan penghasutan untuk memusuhi suatu kelompok secara berlebihan.,Measures containing elements of insult and incitement to overreact a group.
R_3hbW1jbVXbXGy1R,idn,Ujaran kebencian harus dilihat kontexnya. Apakah sudah tepat atau tidak. Jangan diArtikan per kata. Misal kita nulis ih anjingmu cute banget. Lalu tiba tiba pihak sosmed  bilang jangan ucap ujaran kebencian.padahal lagi muji anjing teman.,"The utterance of hatred must be seen the context.Is it right or not.Don't interpret per word.For example, we write your dog really cute.Then suddenly the social media said don't say hate speech. Even though I praise a friend's dog."
R_AiHnjup1eRN7FQd,idn,"Ujaran yg menyerang suku, agama, ras, antar golongan dan status seseorang seperti bentuk fisik, status sosial dll, tetapi dengan alasan kebenaran dan fakta ujaran kebencian kadang2/ssekali diperlukan/diperbolehkan dengan syarat2 tertentu.","Utitions that attack tribes, religion, race, between groups and status of a person such as physical form, social status etc., but for reasons of truth and facts utterances of hate sometimes/sternalty are needed/allowed with certain conditions."
R_125VvYWLY6DicOh,idn,"Saat menyinggung SARA, terutama dengan kata2 kotor yang berlawanan dengan norma bersama di masyarakat.","When offending SARA, especially with dirty words that are contrary to the norms together in society."
R_eJT0DC9RMsq2hrz,idn,Ujaran kebencian jangan dipublikasikan Sebab akan menjadikan relasi sosial menjadi tidak nyaman. Orang boleh berbeda pendapat namun harus disampaikan dengan cara yang santun tanpa menyinggung perasaan atau menyakiti hati orang lain,Hatings utterances should not be published because it will make social relations uncomfortable.People may disagree but must be conveyed in a polite way without offending or hurting others
R_3FUQzkDajVC8Tjy,idn,Tidak,No
R_3nDzseRHfinqSs0,idn,Ungkapan anti terhadap keyakinan orang lain,Anti -expressions of other people's beliefs
R_10ZQiBl9ZCysOEg,idn,Ungkapan tidak setuju yang dikatakan tanpa memperhatikan perasaan lawan bicara,Expressions of disagreement that are said without paying attention to the feelings of the other person
R_2Pb3zziRv2e5nnd,idn,Sebuah komentar atau postingan yang seakan mengajak orang lain untuk menyudutkan salah satu pihak,A comment or post that seems to invite others to corner one of the parties
R_8vHENviN2gSg8PD,idn,Yang mengungkapkan rasa benci terhadap orang lain,Who expresses hatred towards others
R_2yrcqU0DEozIolY,idn,Ucapan yang membuat orang yang diajak bicara menjadi membenci orang lain,Greetings that make the person being spoken to to hate others
R_UXuUyKALmE9mOfT,idn,"Ujaran kebencian itu sederhana: 1. menyinggung SARA, 2. Menyerang personal.","The hate speech is simple: 1. offending SARA, 2. Attacking Personal."
