ResponseId,country,hate_definition,translated_hate_definition_cleaned
R_1gzm4faP3witnh3,pol,"Wypowiedzi nawołujące do przemocy, fizycznej i psychicznej","Statements calling for violence, physical and mental"
R_3MoI6vdvTaXoErG,pol,Zwroty nawołujące do agresji czy przemocy wobec innych,Phrases calling for aggression or violence against others
R_1PdBBrcQ88dIWvf,pol,Obraźliwe określanie kogoś ze względu na jakąś jego często niemożliwą do zmiany cechę.,The offensive determination of someone because of some of his often impossible feature.
R_3KUazYOpAf7q4vM,pol,"Mowa nienawiści to mowa, która nawołuje, podrzega do psychicznej lub fizycznej przemocy w stosunku do danej osoby lub grupy osób.","Hate speech is a speech that calls for, subordinates to mental or physical violence in relation to a given person or a group of people."
R_2737zctYcUFx4P3,pol,"Forma wypowiedzi, która narusza prawa i godność interlokutora.",A form of a statement that violates the rights and dignity of the interlocutor.
R_9mlLZLzLrLZG0rn,pol,Obrażanie kogoś ale jest to wyolbrzymione stwierdzenia,Insulting someone but it is an exaggerated statement
R_OHWf0tFdH8siWOd,pol,Nawoływanie do prześladowań lub zbrodni,Calling for persecution or crime
R_31NTqD1BLa1WtA1,pol,"Bardzo trudno to zdefiniować. Pewne zachowania da się od razu przypisać do nagannej narracji, pewne są ""tylko kontrowersyjne"" a pewne spotykają z przewrażliwieniem.","It is very difficult to define.Certain behaviors can be immediately attributed to a reprehensible narrative, they are certain ""only controversial"" and they meet with oversensitivity."
R_31SNuz4ogX7HMTi,pol,"Skonkretyzowane ataki, nie będące oczywistą ironią, żartem. Zarówno zaadresowane do grup, jak i indywidualnych osób czy ich atrybutów.","Specific attacks, not obvious irony, a joke.Both addressed to groups and individual people or their attributes."
R_1jjO3V3NhR4B6xU,pol,nie ma czegos takiego. to wymysl tych ktorych wszystko obraza.,There is nothing like that.This invent those who offend everything.
R_1gN0jCgzJZ9mcGG,pol,Są to wszelkie działania propagujące agresję i inne nielegalne działania wobec pewnej okrreślonej grupy ludzi,These are all actions promoting aggression and other illegal actions to a certain group of people
R_21gEwV50KGHpHTS,pol,nie istnieje coś takiego,There is no such thing
R_116d1ViLDfW1eoa,pol,"Treści wprost obrażające i dyskryminujące lub nawołujące do przemocy w stronę osoby lub grupy, za samo jej istnienie lub prywatne opinie","Exceptional and discriminatory content or calling for violence towards a person or group, for its very existence or private opinions"
R_09rX9WhfqsXu9l7,pol,"Jest to nawoływanie do prześladowań danych grup społecznych społeczności bądź jednostek, nie jest to zwykłe ad personam.","It is a call for persecution of social groups of communities or individuals, it is not an ordinary ad personam."
R_2xxH6pKcUKjNqkf,pol,"obrażanie innych, wyśmiewanie, dyskryminacja","insulting others, making fun, discrimination"
R_2PqiR30hPRw49BC,pol,"Całkowita próba zniszczenia osoby lub ich twórczości,nadmierny język wulgarny co słowo lub w skrócie bardzo skrajna nienawiść do osoby(groźby)","Total attempt to destroy a person or their work, excessive vulgar language every word or in a nutshell very extreme hatred of a person (threats)"
R_2eORKvqNb0pCRUv,pol,Polskie obozy zagłady,Polish extermination camps
R_2R24Q7AHqgea1UM,pol,Mowa nienawiści to wypowiedzi nawołujące do przemocy wobec określonej grupy osób lub urągajce jej godności albo przypisujące jej cechy o nacechowaniu wyraźnie negatywnym.,Hate speech is statements calling for violence against a specific group of people or striking her dignity or attributing its features of a clearly negative character.
R_242cToQ5S28391B,pol,Stwierdzenia które promują albo nawołują do dyskryminacji konkretnej grupy ludzi,Statements that promote or call for discrimination against a specific group of people
R_3PdlCQajpvc9V3R,pol,"Mowa nienawiści (nawoływanie do niej) jest wtedy gdy wskazujemy konkretną grupę ludzi/osobę i nawołujemy wobec niej lub życzymy jej śmierci/cierpienia/jakiejś krzywdy (psychicznej lub fizycznej). Nie jest to negatywne wypowiadanie się o jakiejś grupie/osobie, nawet jeżeli kompletnie niemerytoryczne.","Hate speech (calling to it) is when we indicate a specific group of people/person and we call for her or wish her death/suffering/some harm (mental or physical).This is not a negative speech about a group/person, even if completely non -substantive."
