ResponseId,Finished,Progress,open_hatedefinition,open_allow,UserLanguage,gender,birthyear,minority,country.x,country.y
R_01T8ekzn9MnlsmR,1.0,100.0,"Incentivo a violência, censura, preconceito.","Incentivo a violência, preconceito.",PT,Female,37.0,non-minority,bra,
R_02FqhyWpRV6RIHf,1.0,100.0,Perseguição e assédios constantes contra certos grupos de pessoas,Tudo deve ser permitido ser DITO no.campo das ideias  mas ameaças de violência e de morte não devem ser toleradas.,PT,Male,15.0,minority,bra,
R_06xJwj1z7bEoFpL,1.0,100.0,É uma reflexão que a pessoa tem de manisfestar o que tá sentindo porém não vê o outro lado,Eu acho que vem da consciência de cada um da respeito ambos lado,PT,Female,23.0,minority,bra,
R_07iMdDa54JIQJs5,1.0,100.0,Incitação à violência,"Incitação à violência, ofensas graves",PT,Female,17.0,minority,bra,
R_08GQzY2mMaJAsUh,1.0,100.0,Ameaças de danos físicos ou morte. Incitação a agressão,"Incitação a crimes. Venda de drogas, prostituição, etc..",PT,Female,46.0,non-minority,bra,
R_0d1lViropxhZF6x,1.0,100.0,"Quando se deseja o mal, a morte e outras coisas ruins.","Usuários que manifestam a intensão de matar, maltratar,  perseguir....outros usuários devem sim ser banidos de plataformas digitais e até investigados por órgãos competentes.

Lembrando que só sabemos o que é discurso de ódio ou ofensivo quando o outro fala. 

E por mais difícil que seja, existem em nosso meio opiniões diversas que nos gerem ""fobias"" e ""mal estar"", é sóquando sofremos/vemsotal situação é temos que denunciar e bloquear os usuários que fazem tais discursos, avisando a plataforma para que tome uma postura quanto ao referido caso.
 
O usuário deve buscar seus direitos legais junto as autoridades judiciais quando sofre com discurso ofensivo, de ódio, assédio e tantos outros.
",PT,Female,32.0,minority,bra,
R_0etJRyelKcNNMbf,1.0,100.0,"Postagem que é ofensiva a alguém que postou algo ou a comentou (alvo), acrescentando manipulação para qualquer leitor também também odeie o alvo.","Ofensas diretas ou indiretas (vindas por conteúdo patrocinado ou não), bem como aquelas que podem induzir violência de um grupo contra pessoa ou grupo.",PT,Male,42.0,non-minority,bra,
R_0H4tsIDIMa1NvnH,1.0,100.0,"Discurso de ódio nao é nada mais nada menos que a frustação de quem o faz sendo exibida em formato de texto nas redes sociais.
Pessoas mentes fechadas acham que possuem o dom da verdade e ninguem pode expressar suas opiniões.","Deve haver um grande filtro de palavras na rede social.
Pelo menos filtros individuais, pois a palavras que afetam um e nao a todos, é dificil ter um profundo controle do oque deve ser dito na rede social ou nao dito. Oque deve valer é a ética individual de cada um.
Acredito que deve ser listada palavras para nao serem ditas, mas para isso deve ser bem analisadas tais palavras.
Se houver uma boa fiscalização pode acabar melhorando a rede social",PT,Male,4.0,non-minority,bra,
R_0HeuRRQGSdjmAiR,1.0,100.0,"Coisas que eu e,  outras pessoas no geral ficarião, ofendidas, magoadas, ou ameaçadas e/ou sentirem 
medo quando lessem ou escutassem. 
Os exemplos de discurso de ódio da pesquisa, são piada do que realmente acontece na Internet no geral, que são bem piores...","Fica bem difícil dizer, apenas quem fura a bolha pra explorar outras visões de mundo se ofende ou acaba ofendido.
Em comentários, ameaças, racismo, oque todos já sabem, em postagens nada, desde que seja conteúdo histórico, ou reportagens etc.

",PT,Male,14.0,non-minority,bra,
R_0kqNoMAKZ6U2tS9,1.0,100.0,Discurso de´´odio só existe em em países totalitários,"Liberdade de expressão é poder falar de qualquer um que seja ,mas que aceite o contraditório",PT,Male,55.0,non-minority,bra,
