ResponseId,Finished,Progress,open_hatedefinition,open_allow,UserLanguage,gender,birthyear,minority,country.x,country.y
R_0244JmOQarfwlpf,1.0,100.0,Cuando hablo siempre de otras personas pero no hablo de mi o mi comportamiento.siempre hablo lo q es de los demas,Se debe permitir la libre expresión con un lenguaje moderado,ES,Female,45.0,non-minority,col,
R_0251d1WfoWKG9LH,1.0,100.0,Cómo personas ignorantes y de mente cerrada ante la realidad de la situación del planeta actualmente en que gracias a los avances tecnológicos las ideas se pueden difundir más rápido por eso mismo respetar y valorar las opiniones de todos los seres humanos,Debe haber un ente o personas que regulen lo que se transmite por las redes sociales para evitar fomentar el odio y el racismo,ES,Male,43.0,non-minority,col,
R_06PGxv0nYroVQIN,1.0,100.0,Intolerancia frente a posturas diferentes a la propia.,"Opiniones o discursos que dañen, ofendan o atenten contra la estabilidad y o vida del otro.",ES,Female,43.0,non-minority,col,
R_08JZ2ECsN4NGgA9,1.0,100.0,El contenido sugiere de alguna manera que el objeto del mensaje debe ser dañado o violentado,"No debe permitirse discursos que inciten a la violencia, ni a ocasionar daño a personas, otros seres vivos, instituciones o colectivos; estoy de acuerdo que se debe educar a las sociedades para evitar la construcción de lenguajes dañinos, de la misma manera y ante la dificultad de evitar totalmente este fenómeno, enseñar a hacer caso omiso y minimizar el impacto en las víctimas directas o indirectas de estos discursos.
Definitivamente no me gusta cuando las características particulares, alteraciones físicas, mentales, funcionales o de otro tipo de una persona, son objeto de burla por parte de otras personas.",ES,Female,45.0,non-minority,col,
R_09aHdIvsaU66EBX,1.0,100.0,Un discurso ofensivo y agresivo.,Existe la libertad de expresión,ES,Female,41.0,non-minority,col,
R_0fgrwlj6YVUrfrP,1.0,100.0,"Son discursos, personales o a entidades directamente discriminando o con malas palabras o amenazantes y directos",Amenazas particulares a perdonas o entidades sociales directas,ES,Female,38.0,non-minority,col,
R_0jib1hgRXmCakj7,1.0,100.0,El discurso de odio se propisia en las redes sociales más que todo de los gobernantes y todos sus seguidores en Colombia hay una brecha muy grande entre la izquierda y la derecha lo cual a llevado a dividir familias enteras no se preocupan por gobernar Sion de culpar los gobiernos anteriores propusieron el cambio es hora de hacerlo y no hablartanta babosada Colombia está así por el banboso de presidente que tiene no sabe ni dónde está parado está enseguesido por el odio se puede decir todo,Se puede decir todo porque es la única forma de espresar el imcorfomismo aunque algunos lambertos se fendan,ES,Male,37.0,non-minority,col,
R_0ln9JE0yDSWzzqx,1.0,100.0,"Un discurso que evidencia la ira de una persona hacia algo o alguien, siento esta una ira injustificada, hiriente y violenta.","Cosas amenazantes, lascivas, morbosas, que inciten a la violencia, etc.",ES,Female,22.0,non-minority,col,
R_0MycFg9YY9TIoWB,1.0,100.0,Malo,Mensajes ofensivos,ES,Female,18.0,non-minority,col,
R_0NDoi1wf6oU6HTP,1.0,100.0,"Aquel que invita a hacer daño, físico, sicológico
","Hacer mención a nada que vulnere la libre expresión ni, intentar como se está haciendo en Colombia, manejar la mente de los incautos para que hagan lo que otros quieran y causen daños como lo sucedido en aquel paro de casi 4 meses
",ES,Male,32.0,non-minority,col,
R_0p6AkARbH3PGcHD,1.0,100.0,"Un discurso de odio es una amenaza directa!
","Amenazas directas ! 
",ES,Male,42.0,minority,col,
R_0Pv1XyMXlfAFnX3,1.0,100.0,Que denigre e insulte a la persona a quien va dirigido.,"Insultos, estigmatizaciones. Quisiera agregar que en la encuesta en determinado momento detecté un sezgo político.",ES,Male,51.0,non-minority,col,
R_0q76IJyNGxbeWad,1.0,100.0,Un discurso de odio no me gustan tales comportamientos,"No se debe permitir insultos, groserías, vulgaridades que ofendan a cualquier persona",ES,Female,16.0,minority,col,
R_0TyTnYXxm7hoonv,1.0,100.0,"El discurso de odio es expresar sin consideración con el otro mensajes que conducen a generar conflictos sin sentido, al querer adoctrinar en posturas clasistas, racistas y excluyentes","No decir fake news ni falsas matrices de opinión contra el adversario, el diferente o como en el caso de Colombia, cuando los de derecha atacan al presidente Petro con mentiras todo el tiempo; o ataques racistas contra la vicepresidenta Márquez y otros.",ES,Female,52.0,minority,col,
