ResponseId,Finished,Progress,open_hatedefinition,open_allow,UserLanguage,gender,birthyear,minority,country.x,country.y
R_0AgAntjnjM6PWU1,1.0,100.0,"Strong disagreement is acceptable. Calling for others to be harmed or blatant, violent racism etc is where the problem lies.",No calling for death/ violence. Extreme bullying.,EN-GB,Male,41.0,minority,gbr,
R_0CKINf6qbWmwAkV,1.0,100.0,"Degrading, insulting, threatening speech towards someone based upon their colour, gender creed etc","Nastiness, calls for death or harm,",EN-GB,Female,24.0,non-minority,gbr,
R_0cZs21Qz4WWVmcF,1.0,100.0,"It's a blanket amorphous phrase, that can change at the will of an individual and is used as a cudgel to stop any debate on any subject. it is a useless phrase and a worthless law, that police use to inflate crime stats to increase budgets, and ""marginalised"" groups use to silence any critique regarding lifestyle, even if that lifestyle is harmful, i.e. the Groomer and MAPS debacles, with certain online platforms banning people from using the former and mocking the latter.",Incitement to violence or terrorism.,EN-GB,Male,32.0,non-minority,gbr,
R_0HPrgDNYbQWF7jP,1.0,100.0,I would define hate speech as deliberately threatening or promoting harm against a group.,"People should not be allowed to say things that reveal other people’s private information, threaten their physical safety or incite others to do so.",EN-GB,Male,22.0,non-minority,gbr,
R_0ij535n7TjzyBkl,1.0,100.0,YOU CANT .. hate speech for one person is not for the other . If you don't like move on . To many snowflakes,"Anything legal should be allowed . Hurt feelings don't wash . Don't like , move on . Simples",EN-GB,Male,41.0,non-minority,gbr,
R_0jogC8yl9XRaBDr,1.0,100.0,"Speech which is harmful to any individual or group, especially if the content encourages others to join in against the victims.","Any content that encourages the spread of hatred towards 
and individual or group, or that spreads misinformation about any individual, group or socio-political issue where that content is likely to encourage harmful behaviour towards those affected.",EN-GB,Male,34.0,non-minority,gbr,
R_0Nd3Lxq7TJpiN4B,1.0,100.0,"Non constructive, highly emotionally charged with an unwillingness to listen to others views",Anything directly inciting violence. With the block feature everyone is directly capable of removing content creators they find undesirable.,EN-GB,Male,21.0,non-minority,gbr,
R_0qd3x0UQdj4bOVz,1.0,100.0,"Targeted at a race, disability, all that shit",Racist slang,EN-GB,Other,30.0,minority,gbr,
R_0TUsYjnfYyXQ9JD,1.0,100.0,"Speech that specifically targets a group of people. Speech that is false, divisive and ignorant. Speech that is deliberately malicious and bullying.","Deliberately false information, usually geared to divide and antagonise society. Insulting and destructive speech. This especially applies to media outlets who engage in this crap on a daily basis.",EN-GB,Male,44.0,non-minority,gbr,
R_0UJrlW3JAVOxGXn,1.0,100.0,"Outright, blatant, unequivocal, xenophobic statements, with no ambiguous, tempered context, humour, or irony","In truth, almost anything, with recognition given to context. Somerhing every single one of your questions failed to recognise: everything depends on context, which can vary greatly depending on the comprehension of the recipient.",EN-GB,Male,44.0,non-minority,gbr,
