ResponseId,Finished,Progress,open_hatedefinition,open_allow,UserLanguage,gender,birthyear,minority,country.x,country.y
R_0cFp6UZb9VZRqX7,1.0,100.0,Pernyataan secara eksplisit menyatakan kebencian,,ID,Male,27.0,minority,idn,
R_0kZwMkTlWGOnSTL,1.0,100.0,Perkataan yang memancing sara atau kerusuhan antar warga negara,,ID,Male,26.0,non-minority,idn,
R_0OEhFi790SpY305,1.0,100.0,Ujaran kebencian itu tentang memprovokasi orang lain agar ikut membenci apa yg di serukan dalam rangka lain mencari byk pendukung utk menindas,Kata-kata yg buruk dan tidak pantas jika anak-anak kecil sampai bisa menirukannya,ID,Female,10.0,non-minority,idn,
R_0q4sGlleTy4efRv,1.0,100.0,"Sebagai warga+62 sah-sah saja mengemukakan pendapat, sesuai fakta dan reality, tidak membohongi public",,ID,Female,33.0,minority,idn,
R_0qxTVpIsjZQVtPr,1.0,100.0,"Ujaran kebencian; menghina, me-ngata2in dgn kata2 kasar, memaki.",,ID,Female,56.0,minority,idn,
R_0upQkcsWK0gjXfb,1.0,100.0,Mengajak orang atw mempropokasi agar membenci kelimpok yg.lain,Seperti ISLAM RADIKAL..,ID,Male,46.0,non-minority,idn,
R_10Gb6E3kyt9GXaq,1.0,100.0,Cara berpikirnya selalu kontrak produktif dg orang lain yang tak sehaluan,Merendahkan martabat orang lain dg caci kaki,ID,Male,52.0,minority,idn,
R_10ugRxYicfyDuzN,1.0,100.0,Kembali ke tingkat kedewasaan seseorang dan tingkat tau membedakan apa yang disebut benar dan apa yang disebut salah karena dunia bukan hanya tentang opini. YHWH Yashua memberkati.,"Keintiman suami istri, kata kata/konten yang anda tau terlarang menurut pandangan anda dan finance",ID,Female,22.0,minority,idn,
R_10xsnVGlrqDp4oH,1.0,100.0,Ujaran yang mengandung unsur antipati terhadap seseorang atau sekelompok orang dan mengundang permusuhan.,Tidak boleh menyerang secara pribadi dengan memaki-maki dan mengumpat menggunakan kata-kata di luar batas kesantunan.,ID,Male,41.0,non-minority,idn,
R_10Z3P5x6LbBSWqg,1.0,100.0,Ujaran kebencian adalah perkataan yang menimbulkan kontroversial dan memiliki dampak psikologis bagi korban ataupun orang lain yang membacanya.,"Isu tentang Ras, Agama dan hak pribadi ataupun hak azasi manusia.",ID,Male,29.0,non-minority,idn,
