ResponseId,Finished,Progress,open_hatedefinition,open_allow,UserLanguage,gender,birthyear,minority,country.x,country.y
R_06wo7i5l2EkHTMt,1.0,100.0,"Any post which causes disharmony amoung various religions,Caste, Social group, Cultures or regions,and Opinion or interview or speach which may instigate riots mainly people in power or public figures",,EN-GB,Male,10.0,non-minority,indeng,
R_07byCxHmfj8V2CJ,1.0,100.0,"Hate is an emotion. No person is without it and none can ever, No one in the entire history of Mankind has ever dissociated oneself from Hate. Now speech that follows when one is experiencing hate, fear, repulse, etc are currently termed ""Hate Speech"". Relying on Ancient to Moderately modern History and then drawing on that to take digs at people of any disposition cannot be termed as Hate Speech. I honestly don't know what the Term Hate Speech is even worth. People clearly need to steel themselves. Acting out of hate is crime. But speaking out of hate! I dunno, Maybe consider who you're directing your hate to.","Social media still has a long long way to go, it's still in its womb stage. So just let it grow till it becomes worse or better.",EN-GB,Male,14.0,minority,indeng,
R_0cXAkNgBYWHgvU5,1.0,100.0,"Something inhuman, like rape threats, abusing one's family member, or saying something too traumatic to someone. Moreover saying absolutely baseless claims ( religious beliefs n all) , illogical arguments or propaganda to cause hatred or violence is unacceptable. In any case, threats regarding anyone's family, religious bullshit and sexual violence should not be tolerated . Further more, too much sexual content should be banned too. Too much of nude scenes leads to a perverted mind.","Minor insults, roasts or some slangs should be allowed. People get offended too easily nowadays. If someone says the word nigger, I don't find anything to get offended by it. Most Slangs should be tolerated. If people are getting offended by everything it's their fault, it shows this world is becoming too soft. However any major insults regarding someone's family, or violent threats or sexual assault threats must not be tolerated.",EN-GB,Male,5.0,non-minority,indeng,
R_0GO1SZNIw9EZg7n,1.0,100.0,"Insulting words, offensive language, prejudice of all kinds","Positive speech, critical without being prejudiced or offensive, pointing out issues,",EN-GB,Male,27.0,minority,indeng,
R_0Hac18CZYKPyYff,1.0,100.0,"Hate speech is something that beyond the ""offensive words"". Anybody can be offended about anything. Trust me in our country everyone is offended on everything. Elders will say this younger guy is taking my first name I am offended, where in west it's common to call someone by their first name. Ladies will say how can he talk to me like that I am wemen where in west we treat everyone equally, isn't it? So offensive feeling is very subjective and we must agree to be disagree on the feeling of being offended.
Hate speech where you point out somebody based on his/identity or individually express your inner negative urge to crush them down. It's also an instinct what we have with evolution. We can't get rid of it. In the name of controlling it people in position of power control the common man.","Nothing. If we prevent something that will cause a ripple effect. It gives the people of power more control over common men. Free speech means right to offend too, else it's controlled.
People may feel devided by their identity like creed, ethenticity, sexual orientation etc however there is only two group, people with position of power and people who are not previlidged. People with position of power already controlling everything, be it political arena, educational institutions, judiciary, mainstream media etc others are only having social media. If they can control it then everything is gone.",EN-GB,Male,25.0,minority,indeng,
R_0kWTkye9OI4fGPT,1.0,100.0,If I don't like even I can't read it,No idea,EN-GB,Female,31.0,minority,indeng,
R_0lbH7lKyAF60egF,1.0,100.0,"Anything that has to do with race, ethnicity, colours, religion, caste, culture, gender, profession and body 
if someone discriminate all this then it's hate speech","Everybody has to have the freedom of speech so I do not think there is anything should not be allowed to say but if there's something offensive, hate the social media company should take action and ban them from further connecting them with someone they are giving hate speech or making a offensive comment",EN-GB,Male,9.0,non-minority,indeng,
R_0og6ojj6Vng6h4l,1.0,100.0,Hate speech is those words or opinions which target a person or a group of persons and makes derogatory remarks about them.Usually the person making hate speech has already judged the post beforehand and he/she simply blurts out how he/she has been feeling for a very long time. Usually the effect on the person targeted is overlooked.,Any offensive or hateful words.,EN-GB,Female,32.0,non-minority,indeng,
R_0OLwbT6Nll2SUBr,1.0,100.0,"ILLOGICAL, unintuitive, unscientific,  below the belt, visceral content","Avoid politics, gender and religion, but preferably it should be a personal choice, and regulated by self, not the company or govt, or law, etc.",EN-GB,Male,39.0,non-minority,indeng,
R_0PYwuVnhK4DK8EN,1.0,100.0,In my opinion anything that put a person's or a group of people of a certain faith or gender's life or a country's peace and harmony on risk is what constitutes a hate speech,"One should not be allowed to say anything on social media that triggers violence against a person, group of people or a country",EN-GB,Male,16.0,non-minority,indeng,
