ResponseId,Finished,Progress,open_hatedefinition,open_allow,UserLanguage,gender,birthyear,minority,country.x,country.y
R_0jtLgN9yAPPRDrP,1.0,100.0,"Speech spoken out of racial, ethnic, gender and religious  bias",Then we are living in bondage,EN,Male,61.0,non-minority,nig,
R_0PSuRA6Yc9UwSWZ,1.0,100.0,It’s kinda way how people think about the situation,Free to talk,EN,Male,3.0,minority,nig,
R_0Sy1P8bf3DEZ465,1.0,100.0,Done,Great,EN,Male,6.0,minority,nig,
R_10GguBEv01T2bC3,1.0,100.0,"Hate speech is malicious statements aimed at destroying or causing damage directed at a person, group,organisation or institutions.","Extreme display of freedom of speech to the extent of hate speech and extreme measures of regulation, control or censorship be  avoided.",EN,Female,23.0,,nig,
R_10MgMjSow0Z3hc9,1.0,100.0,Hate speech is whatever that has a sole purpose of attacking another individual or group whether majority or minority without having any base or facts.,"The only thing that shouldn't be allowed on social media or anywhere to that matter is hate speech towards religions and faiths, people are free to choose their own religion or not have a religion at all and nobody has any right whatsoever to impose their ideals on them only because they are different.",EN,Male,22.0,non-minority,nig,
R_10O6p6gt4ggruCF,1.0,100.0,"Inhumane, unfriendly, inconsiderate and unjust opinion of others","False, slanderous and divisive statement",EN,Male,28.0,non-minority,nig,
R_10Os7LoZErNWImd,1.0,100.0,"Any speech that creates tension, rejection or puts down the integrity or personality of the reader or writer of the comment being responded to.","Any offensive, abusive o threatening words.",EN,Female,46.0,non-minority,nig,
R_10oUi5TLaTvCu9R,1.0,100.0,Abusive or threatening speech.,Yes hate speech should not be allowed on social media,EN,Male,17.0,non-minority,nig,
R_10T6WKqzlitS7fI,1.0,100.0,"Negative utterances against a person either to destabilise, demoralise or to make someone feel inferior to others.","If people will not be polite on social media, then they should be banned. We should be mindful of what to say on social media because summary people are hurting due to this and it bring them into a life situation you cannot imagine. It makes some people sick and depressed and suffer the pain alone with no one knowing what they are going through. Social media should be used to add value to one another. It has made the world a global village and so why can't we our brothers keepers?",EN,Female,33.0,non-minority,nig,
R_111MrbOIKYbDOfn,1.0,100.0,To say something that might hurt someone  believe knowingly  without remorse.,Anything against the ethics of humanity.,EN,Male,25.0,non-minority,nig,
R_11j6kCPYiEOprIq,1.0,100.0,Any expression that does not consider the feelings of others.,"Opinions that will not incite conflict; bearing in mind that ""My freedom to swing my arms ends where another man's nose begins"".",EN,Female,33.0,minority,nig,
R_11YrN1srlZLmOiq,1.0,100.0,Negative words,None,EN,Male,10.0,non-minority,nig,
R_12asrv1GgpOjOqm,1.0,100.0,"Unpleasant statement against me because of my faith, race or ethnicity","Any negative statement against religion, race and ethnicity",EN,Male,37.0,non-minority,nig,
R_12shhoxM9iEdsLo,1.0,100.0,Any attack that is directed at the personality of an individual or group.,Direct insult on an individual.,EN,Male,25.0,minority,nig,
R_1BRunlkZGIv0DBs,1.0,100.0,"I see hate speech,as the ability of someone to promoted unequal relationships and also cause civil unrest among the society","Citizens should be restricted from the centralised affairs of the government, and also develop the sense of secularism",EN,Male,12.0,non-minority,nig,
R_1Ca8s87jCB6ney6,1.0,100.0,"Is a words spoken that might cause ethnicity, religion confusion and disorder",Many believe whatever on social media is the fact,EN,Female,17.0,non-minority,nig,
