ResponseId,Finished,Progress,open_hatedefinition,open_allow,UserLanguage,gender,birthyear,minority,country.x,country.y
R_06PGD11soyQug4V,1.0,100.0,Kapag wala na sa.lugar at halatang nagmumula lamang sa galit ang sinasabi,Tahakang pambabastos sa opinyon na hindi naman masama,TGL,Female,38.0,non-minority,phl,
R_0BZaQEn2SYxDLEZ,1.0,100.0,Iyong umaabot na sa puntong pati pamilya mo ay pinagsasalitaan na nang masama. Pinagbabantaan ang buhay ng isang tao. At pagsasabi ng mga bagay na negatibo patungkol sa isang estranghero dala ng isang tsismis na walang patunay.,Iyong mga bagay na makakasira sa imahe ng isang tao. Paninirang puri. Pagkakalat ng tsismis. At mga pag eenganyo sa mga taong gumawa ng masama.,TGL,Female,11.0,minority,phl,
R_0CCGGhlgSzEz2gh,1.0,100.0,"Katulad ng nabanggit na sa una- mga bastos , masakit at nakakainsultong pananalita",Mga malalaswang salita at pagmumura,TGL,Female,42.0,non-minority,phl,
R_0GpCfZUFAU78Ixz,1.0,100.0,"Ang paggamit ng bastos na pananalita. Kahit di sang-ayon sa isang bagay, ipahatag ang saloobin sa kagalang-galang na paraan!","Ang pagmumura, panlalait, anything below the belt in a discourse!",TGL,Male,53.0,non-minority,phl,
R_0lflYCHP8BnqQ93,1.0,100.0,Ito ay isang imoralidad at diskriminasyon,Nkakasakit sa maraming  tao,TGL,Female,28.0,minority,phl,
R_10COqDYVrWYkgFr,1.0,100.0,masasakit na pananalita na kadalasan nagdudulot ng hindi pagkakaintindihan,political views,TGL,Female,8.0,minority,phl,
R_10HqkWat9Ckd5Hf,1.0,100.0,Sagutin ng mahinahon ang mga kasinungalingan.,Mga salitang nakakababa ng dignidad.,TGL,Male,53.0,non-minority,phl,
R_10IVwpdVUKwgRfq,0.0,99.0,Kapag ang Isinulat ay masyadong yuuyurak sa isang tao o gtupo ng tao,Mapanirang salita na Wala nman katotohanan,TGL,Male,37.0,non-minority,phl,
R_10JFoyW82U8DABL,1.0,100.0,Kung ito ay nakakasakit ng damdamin ng ibang tao.,Kung ito ay nagbabanta sa kaisipan ng tao.,TGL,Female,16.0,non-minority,phl,
R_10uElADrRITT2vs,1.0,100.0,"Para sa akin ang Hate Speech ay kung nakaka threaten ito sa buhay ng isang tao, sobrang nakakababa ng kanyang self confidence, nang bubully, sobrang masakit na ang salita na pwedeng maging sanhi ng kanyang suicide.","Ang salitang Mamatay ka na, papatayin kita, mamatay ka na sana, magpakamatay ka nlg, wala kang kwenta, di ka na dapat mabuhay,",TGL,Female,20.0,non-minority,phl,
