ResponseId,Finished,Progress,open_hatedefinition,open_allow,UserLanguage,gender,birthyear,minority,country.x,country.y
R_01khyal3s8Y6vAZ,1.0,100.0,"Some persons hate, and are either led into that or develop it on their own (possibly out of fear). Those persons will - and should have the right to - express their opinion. Those of us who disagree with a particular comment should have an equal right to respond in disagreement ( and therefore the opportunity to show reasons and data explaining why we disagree.)","In my experience, no past attempts to completely control the behavior of others has ever succeeded in doing anything other than to drive those behaviors 'underground'. (I generally support a Libertarian view and therefore...) It is absolutely no one else's business what anyone else does unless they are actively harming another. (...and, yes, we can - and probably should - debate types of harm infinitum!) And thank you for this long-overdue attempt to document public views on an important, very current, issue.",EN,Male,63.0,non-minority,phleng,
R_02LDfSfCqL7WLXX,1.0,100.0,"Hate speech refers to offensive discourse targeting a group or an individual based on inherent characteristics (such as race, religion or gender) and that may threaten social peace.","If this would happen, we cannot merely express our opinions and tell what is happening in real time. We just have to be positive and honest of what is true in our post or shared post.",EN,Female,27.0,non-minority,phleng,
R_0kNF4CPfjn2brEZ,1.0,100.0,It's fine as long as it doesn't occur over a constant period of time,Everything can be said it's their views and you can't change another to support your views because a view always is contradictory to some other group of people,EN,Male,5.0,non-minority,phleng,
R_0oEaAR9eWmvKJeF,1.0,100.0,Where it involves physically hurting the person,Haters,EN,Male,48.0,non-minority,phleng,
R_0rjIwZzguo4jiBr,0.0,99.0,"Hate speech is when the person is hated for something they cannot change like skin color , parental culture , for being an immigrant and likewise , the speech suggests strong hate and not just a 'naughty' moron or idiot.","Kill black people , emigrants are traitors and should die ,immigrants are not proper citizens",EN,Male,5.0,minority,phleng,
R_0vs9ayCAwZIQu6l,1.0,100.0,Insulting and tormenting other people and fake news,Nothing it's a free world. You say what's in your mind. There's a reason for everything.,EN,Male,39.0,non-minority,phleng,
R_10CymcvMrklRnvD,1.0,100.0,"Speech that try to intimidate, bully and uses expletives to provoke counter. Sarcasm not included.
",Curses and ad hominems.,EN,Male,50.0,non-minority,phleng,
R_10JDE3SWUBdOzXJ,1.0,100.0,"Any utterances against the constitutional rights of any person.
Is considered a hate speech.
",Fake news the most,EN,Male,37.0,minority,phleng,
R_10uOH8HfoKzyVRp,1.0,100.0,I think hate speech is a speech when somebody talk bad about religions,Should not allowed to say about any body's religion,EN,Female,23.0,non-minority,phleng,
R_110ASfvqVmtRDVS,1.0,100.0,Calling an innocent person something that they are not guilty of or responsible for (without proof).,"Blatant lies.
It should remain an open platform. If you don’t like it, don’t finish reading it.",EN,Male,56.0,minority,phleng,
