ResponseId,Finished,Progress,open_hatedefinition,open_allow,UserLanguage,gender,birthyear,minority,country.x,country.y
R_006BuNFHLo8dArf,1.0,100.0,"Anyone can call anything hate speech. Even this first sentence someone could consider offensive and hate speech. We have freedom of speech, but using people need to be ready to accept that others disagree.",Conditioning of children or organization of human trafficking and violence.,EN,Male,42.0,non-minority,usa,
R_00yqUPKXuBkkxsR,1.0,100.0,"Seems that in modern times, anything that someone is offended by is all of a sudden hate speech and the offended person wants to destroy the lives of the person who said it, to include their relationships, employment, and social status. People don't know how to communicate or have people skills.","People need to just stop being offended by everything they see. People are angry, most of the time for no reason.

Stop making sexualizing kids as a norm.",EN,Male,35.0,minority,usa,
R_00zgFg1xB36AAdH,1.0,100.0,,"Abusive, bigoted or threatening comments against any race, religion, nationality, ethnicity, gender or sexual orientation, or any threat of violence or provocation of bigotry or discrimination.",EN,Male,56.0,minority,usa,
R_02QdICbi25vdyiR,1.0,100.0,"Speech that harasses, threatens, or encourages violence against a person or group based on race/ethnicity/sex/sexuality/gender identity",You should be allowed to say anything except hate speech. Misinformation should be fact checked by a neutral party.,EN,Other,24.0,non-minority,usa,
R_07FO6X8T7qpZzdD,0.0,99.0,"Words that others would find offensive toward their ethnic, social or community participation.","Cursing of others, labeling others as ""trash"" or other undesirable THINGS.",EN,Female,58.0,non-minority,usa,
R_08pdvNJmHpw8Fep,1.0,100.0,"Speech that poses a significant threat to persons of a specific race, religion, class etc. speech that threatens them just for the reason of being one of those things.  It has to significantly threatening not just “talk”.","Direct, actionable threats to people or classes of people.  Talk like “ all “someone’s” should be shot is not a specific threat.  It is offensive but not necessarily hate speech. Only real threatening speech should be removed. Otherwise it becomes what the person doing the banning thinks is hate speech.  Which is where we are now.",EN,Male,37.0,non-minority,usa,
R_08uiJwn4JakKi5P,1.0,100.0,Hate speech is a term that has such loosely defined parameters that it is basically not a real term.  It can mean any kind of speech that is against something or speech that might offend.,"Direct threats such as ""I know where you live and am going to kill you."" Or doxxing of personal information that is not readily available by the poster especially with stated consent of bodily or property harm.  The farthest I would go is repeated, targeted, harassment (not criticism) of a person could also be considered threatening.",EN,Male,26.0,non-minority,usa,
R_097pzgjjuPAMrfj,1.0,100.0,"Hate speech is speech that encourages violence against various groups of people.or speech that denigrates various people such as gays, jews blacks, etc in order to make them seem inferior.",Anything that incites violence. You should be able to express your views even if they are reprehensible. It's better to have that out in the open rather than hidden and festering within.,EN,Male,52.0,non-minority,usa,
R_09uV8DgBtAkGqop,1.0,100.0,Saying one race is superior to another or calling for the genocide of any type of people.,"Actual death threats, calls to kill or violently harm a particular person.",EN,Female,29.0,minority,usa,
R_0BRcAAbqvrizuaR,1.0,100.0,Hate Speech is when you try to strip a person of their humanity.  When you objectify them as THE PROMBLEM and not as a person.  That's hate Speech.,"I totally believe in free speech, but under certain conditions.  Same conditions as any public speaker.  You don't incite riots, violence or crime.  And you need to take responsibility for the things you say.  Like any adult should",EN,Other,32.0,minority,usa,
R_0cWLA2atr0EkDw5,1.0,100.0,Hate speech  is a word we made up to make ourselves  feel vindicated  . Speech is speech,Direct calls for violence  against  private people  or property    we as Americans  have to understand  why the 1st amendment  is SO IMPORTANT  and that we have the absolute RIGHT  TO SPEAK FREELY  but we have no obligation to LISTEN,EN,Male,14.0,non-minority,usa,
R_0cXZzpEN9vbKzEB,1.0,100.0,"The words ""clear threat"" come to mind.",Disinformation. Calls to violence against minorities.,EN,Male,17.0,non-minority,usa,
R_0dJTX4pWYktZbRn,1.0,100.0,Targeted harassment of an individual due to minority status or the expression of views tied to idealogically extremist organizations. Stoccastic terrorism is also a problem on social media.,,EN,Male,15.0,minority,usa,
R_0HthGaW8lXG8Xyp,1.0,100.0,"Hate Speech is direct attack on a persons race, religion, occupation, etc.  attacking the individual verbally, Claiming that the person is ignorant, or wicked.","Profanity, cursing should be prohibited.  Other opinions can be brought up,",EN,Male,60.0,non-minority,usa,
R_0J3Emxo3bm0cpkB,1.0,100.0,"Comments that openly encourage violence or mistreatment of others due to race, religion, ethnicity, gender or other demographic.","Direct threats.
Incitement of violence.
Blatant racism from, toward or about any race.
",EN,Male,42.0,non-minority,usa,
R_0jFp42MhLUjuHOV,0.0,99.0,"Any speech which makes a user feel TRULY threatened, scared, harassed and shows that another user truly intends to cause any type of harm (mental, emotional, physical) to another user based on their gender, sex, religion, race, sexual orientation, or ethnicity","Hate speech, misinformation, disinformation, things that are not based in fact.  Statements meant to cause harm.  AI’s that can’t distinguish between satire, a joke, and a bot.  Moderation requires human intervention, which might require boxes where you can type in what is wrong with the post instead of items you check off which may not fit the categories given.  Facebook and Twitter (before Musk) were horrible for moderation to begin with and have just gotten worse since.",EN,Female,37.0,non-minority,usa,
